Agent,Skill,Proficiency,Desire To Use
cz_arazim,CZ_Linka_Pomoci_Ridicum,50,50
cz_arazim,CZ_T2,1,1
cz_arazim,CZ_Generali_Info,50,50
cz_arazim,CZ_M1,50,50
cz_arazim,CZ_Czech,3,1
cz_arazim,CZ_Slovak,1,1
cz_arazim,CZ_Europ_Assist,1,1
cz_arazim,CZ_T1,1,1
cz_arazim,CZ_T3,1,1
cz_arazim,CZ_Tech2,1,1
cz_arazim,CZ_Home,1,1
cz_arazim,CZ_Home_SK,1,1
cz_arazim,CZ_Medipartner,50,50
cz_bahnik,CZ_Linka_Pomoci_Ridicum,50,37
cz_bahnik,CZ_NCP,50,50
cz_bahnik,CZ_T2,50,25
cz_bahnik,CZ_LPR_Internal,1,1
cz_bahnik,CZ_DKV_Assist,50,50
cz_bahnik,CZ_Czech,3,1
cz_bahnik,CZ_Tech2,50,7
cz_bahnik,CZ_Claims,1,1
cz_bahnik,CZ_Network,50,25
cz_bahnik,CZ_Junk,1,1
cz_bahnik,CZ_Information,1,1
cz_bahnik,CZ_Home,50,37
cz_bahnik,CZ_Waranty,1,1
cz_bahnik,CZ_Tech,75,25
cz_bahnik,CZ_Home_SK,50,37
cz_bahnik,CZ_EA_QualityCalls,1,1
cz_bahnik,CZ_T3,50,37
cz_bahnik,CZ_Telematika,50,50
cz_bahnik,CZ_T4,50,50
cz_bahnik,CZ_T1,50,12
cz_bahnik,CZ_Cerveny_kriz,50,50
cz_bahnik,CZ_EA_Pojisteni,1,1
cz_bahnik,CZ_EAKrize,1,1
cz_bahnik,CZ_Slovak,1,1
cz_bahnik,CZ_Generali_Info,50,37
cz_bahnik,CZ_Europ_Assist,50,37
cz_bahnik,CZ_Fiat_Info,50,12
cz_balcar,CZ_Linka_Pomoci_Ridicum,50,37
cz_balcar,CZ_NCP,50,50
cz_balcar,CZ_T2,50,7
cz_balcar,CZ_Tech2,50,50
cz_balcar,CZ_DKV_Assist,50,7
cz_balcar,CZ_T4,50,7
cz_balcar,CZ_T3,50,7
cz_balcar,CZ_T1,50,7
cz_balcar,CZ_CCNCP,50,50
cz_balcar,CZ_Network,50,25
cz_balcar,CZ_Czech,3,1
cz_balcar,CZ_Slovak,1,1
cz_benakova,CZ_Czech,1,1
cz_benakova,CZ_Slovak,1,1
cz_bergmann,CZ_Linka_Pomoci_Ridicum,50,37
cz_bergmann,CZ_NCP,50,50
cz_bergmann,CZ_T2,50,50
cz_bergmann,CZ_Tech2,50,7
cz_bergmann,CZ_Czech,3,1
cz_bergmann,CZ_Slovak,1,1
cz_bergmann,CZ_T1,50,50
cz_bergmann,CZ_DKV_Assist,50,1
cz_bergmann,CZ_T3,50,1
cz_bergmann,CZ_T4,50,1
cz_bergmann,CZ_Europ_Assist,50,1
cz_bibkova,CZ_Linka_Pomoci_Ridicum,50,37
cz_bibkova,CZ_NCP,50,50
cz_bibkova,CZ_T2,50,25
cz_bibkova,CZ_Concierge,50,25
cz_bibkova,CZ_LPR_Internal,1,1
cz_bibkova,CZ_Generali_Info,50,37
cz_bibkova,CZ_T4,50,50
cz_bibkova,CZ_T3,50,37
cz_bibkova,CZ_T1,50,12
cz_bibkova,CZ_M3,50,12
cz_bibkova,CZ_M2,50,12
cz_bibkova,CZ_M1,50,12
cz_bibkova,CZ_Home_SK,50,37
cz_bibkova,CZ_EA_QualityCalls,1,1
cz_bibkova,CZ_Network,50,25
cz_bibkova,CZ_Czech,1,1
cz_bibkova,CZ_Slovak,3,1
cz_bibkova,CZ_Europ_Assist,50,37
cz_bibkova,CZ_Home,50,37
cz_bibkova,CZ_EA_Pojisteni,1,1
cz_bibkova,CZ_Cerveny_kriz,50,50
cz_bibkova,CZ_Fiat_Info,50,12
cz_bibkova,CZ_Telematika,50,50
cz_bibkova,CZ_Tech,100,1
cz_bibkova,CZ_Generali_Insolvence,1,1
cz_bibkova,CZ_ECP_Insolvence,1,1
cz_bibkova,CZ_Medical,1,1
cz_bibkova,CZ_Information,1,1
cz_bibkova,CZ_Waranty,1,1
cz_bibkova,CZ_Claims,1,1
cz_bibkova,CZ_Junk,1,1
cz_bibkova,CZ_EA_Exclusive,1,1
cz_bibkova,CZ_DKV_Assist,50,50
cz_brigadnik,CZ_Linka_Pomoci_Ridicum,50,50
cz_brigadnik,CZ_T2,50,25
cz_brigadnik,CZ_Concierge,50,25
